Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
30-04-2021,Rajasthan,-,-,407243,4084,580846
30-04-2021,Sikkim,-,-,6354,146,7747
30-04-2021,Tamil Nadu,-,-,1021575,13933,1148064
30-04-2021,Telengana,-,-,355618,2261,435606
30-04-2021,Tripura,-,-,33612,396,35169
30-04-2021,Uttarakhand,-,-,124046,2502,174867
30-04-2021,Uttar Pradesh,-,-,896477,12238,1217952
30-04-2021,West Bengal,-,-,689466,11248,810955
29-04-2021,Andaman and Nicobar Islands,-,-,5606,67,5816
29-04-2021,Andhra Pradesh,-,-,954062,7871,1069544
29-04-2021,Arunachal Pradesh,-,-,17038,58,18062
29-04-2021,Assam,-,-,222397,1255,246847
29-04-2021,Bihar,-,-,340236,2391,441375
29-04-2021,Chandigarh,-,-,34359,457,41122
29-04-2021,Chhattisgarh,-,-,570995,8061,697902
29-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,5084,4,7067
29-04-2021,Delhi,-,-,979250,15377,1098051
29-04-2021,Goa,-,-,65070,1110,85009
29-04-2021,Gujarat,-,-,398824,6830,538845
29-04-2021,Haryana,-,-,367317,4021,460198
29-04-2021,Himachal Pradesh,-,-,76371,1420,93889
29-04-2021,Jammu and Kashmir,-,-,142537,2227,169077
29-04-2021,Jharkhand,-,-,164278,2395,221489
29-04-2021,Karnataka,-,-,1095883,15036,1439822
29-04-2021,Kerala,-,-,1223185,5211,1495377
29-04-2021,Ladakh,-,-,11937,139,13758
29-04-2021,Lakshadweep,-,-,1336,1,2504
29-04-2021,Madhya Pradesh,-,-,439968,5424,538165
29-04-2021,Maharashtra,-,-,3730729,67214,4473394
29-04-2021,Manipur,-,-,29376,395,31001
29-04-2021,Meghalaya,-,-,14788,167,16430
29-04-2021,Mizoram,-,-,4792,13,5880
29-04-2021,Nagaland,-,-,12516,100,13569
29-04-2021,Odisha,-,-,375721,2017,428515
